,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
168,274779,940274,Private room,,,242,4.5,2.0,1.0,1.0,60.0,1.0,25.786511,-80.137688,2016-02-12 15:44:03.707655
169,276637,2947217,Private room,,,82,5.0,2.0,1.0,1.0,50.0,1.0,25.624404,-80.421337,2016-02-13 03:53:09.227460
170,277916,1136594,Entire home/apt,,,14,4.0,4.0,1.0,,109.0,2.0,25.779356,-80.131464,2016-02-12 23:36:19.906027
171,278260,1452655,Entire home/apt,,,41,4.5,4.0,1.0,1.0,105.0,2.0,25.788174,-80.133001,2016-02-13 01:54:09.336543
172,278577,1453622,Entire home/apt,,,84,4.5,,2.0,1.0,112.0,1.0,25.765502,-80.220161,2016-02-12 21:25:17.434080
173,281117,1453622,Entire home/apt,,,37,4.5,,2.0,2.0,189.0,1.0,25.7791,-80.129663,2016-02-12 23:10:43.517217
174,281322,1466528,Entire home/apt,,,129,4.5,2.0,1.0,1.0,70.0,2.0,25.848219,-80.180352,2016-02-12 15:26:55.366132
175,281500,1298367,Entire home/apt,,,32,4.5,4.0,2.0,2.0,140.0,30.0,25.778361,-80.189881,2016-02-13 00:05:05.724090
176,284048,501745,Entire home/apt,,,31,5.0,,4.0,3.0,250.0,4.0,25.84889,-80.371275,2016-02-12 16:36:06.741794
177,284718,1482360,Entire home/apt,,,6,4.5,5.0,2.0,2.0,169.0,3.0,25.691362,-80.305703,2016-02-13 04:50:23.145622
178,284937,7462,Entire home/apt,,,10,5.0,2.0,1.0,,130.0,5.0,25.760898,-80.188107,2016-02-13 02:49:04.066535
179,285359,1485212,Entire home/apt,,,3,5.0,,3.0,2.0,450.0,7.0,25.844207,-80.150478,2016-02-12 14:17:09.079518
180,285581,1398928,Entire home/apt,,,27,4.5,,3.0,,475.0,,25.83015,-80.122113,2016-02-13 03:45:55.512626
181,287080,1236691,Private room,,,19,4.5,2.0,1.0,1.0,120.0,3.0,25.818514,-80.12235,2016-02-13 02:28:31.427561
182,289763,77294,Entire home/apt,,,67,5.0,,1.0,1.0,159.0,1.0,25.805325,-80.128746,2016-02-12 14:21:25.848271
183,291570,1380741,Entire home/apt,,,22,5.0,5.0,2.0,2.0,120.0,4.0,25.682956,-80.397896,2016-02-12 23:38:33.740311
184,292008,1151354,Entire home/apt,,,60,4.5,2.0,1.0,1.0,125.0,2.0,25.784328,-80.13418,2016-02-13 04:28:44.815116
185,292643,59907,Entire home/apt,,,46,5.0,,2.0,2.0,300.0,3.0,25.773114,-80.13429,2016-02-13 00:54:38.426403
186,292861,281483,Entire home/apt,,,41,5.0,,2.0,,210.0,2.0,25.795282,-80.186351,2016-02-12 17:09:10.656310
187,293628,1153161,Entire home/apt,,,2,5.0,4.0,2.0,,169.0,3.0,25.84439,-80.185681,2016-02-13 02:55:08.761255
188,293637,1453622,Private room,,,78,4.5,2.0,1.0,1.0,67.0,2.0,25.76605,-80.216538,2016-02-12 23:10:48.753616
189,294368,1521854,Private room,,,220,5.0,2.0,1.0,0.0,50.0,3.0,25.762308,-80.204498,2016-02-12 16:20:59.655458
190,294441,1200122,Entire home/apt,,,46,4.5,,3.0,2.0,249.0,5.0,25.953698,-80.121092,2016-02-13 00:59:28.320539
191,296665,1200122,Entire home/apt,,,16,4.5,,2.0,2.0,210.0,3.0,25.932854,-80.127634,2016-02-12 16:39:02.450265
