room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8385169,1267048,Private room,,Mount Pleasant,11,4.5,2.0,1.0,75.0,1.0,38.927826,-77.04223,2016-02-21 01:13:36.135044
3686,4645,Private room,,Anacostia,60,4.5,2.0,1.0,65.0,1.0,38.861768,-76.989659,2016-02-21 01:13:22.511268
7772529,1657626,Entire home/apt,,Capitol Hill,3,4.5,4.0,2.0,120.0,2.0,38.893596,-76.988223,2016-02-21 01:13:09.589142
597862,2789299,Private room,,Capitol Hill,7,4.5,1.0,1.0,58.0,3.0,38.881704,-76.986962,2016-02-21 01:12:47.703187
8542706,15102104,Private room,,Logan Circle,1,4.0,2.0,1.0,110.0,,38.910686,-77.032659,2016-02-21 01:12:44.890753
9710191,574626,Shared room,,Mount Pleasant,0,,2.0,1.0,40.0,1.0,38.930988,-77.040673,2016-02-21 01:12:35.377156
2818677,2530459,Entire home/apt,,Adams Morgan,2,4.5,5.0,2.0,163.0,2.0,38.91896,-77.045031,2016-02-21 01:12:23.299317
4427676,11980555,Entire home/apt,,Foggy Bottom,77,4.5,2.0,0.0,150.0,2.0,38.904256,-77.049675,2016-02-21 01:12:07.778938
1824864,9550761,Entire home/apt,,Capitol Hill,1,4.5,3.0,2.0,149.0,2.0,38.895629,-76.995158,2016-02-21 01:11:46.762103
4652584,12518452,Private room,,Capitol Hill,3,5.0,2.0,1.0,80.0,1.0,38.904929,-77.008539,2016-02-21 01:11:39.503747
3798521,19508381,Private room,,Stadium-Armory,51,5.0,2.0,1.0,70.0,2.0,38.882009,-76.983632,2016-02-21 01:11:11.970742
7438892,38968958,Private room,,Foggy Bottom,8,4.5,2.0,1.0,90.0,1.0,38.902956,-77.049542,2016-02-21 01:10:48.458839
9574720,46836359,Private room,,Ledroit Park,1,4.0,2.0,1.0,35.0,1.0,38.914024,-77.015847,2016-02-21 01:10:32.300372
4558222,23630423,Entire home/apt,,Cleveland Park,161,4.5,2.0,0.0,50.0,,38.934404,-77.057997,2016-02-21 01:08:59.919638
3519858,17723324,Entire home/apt,,Chevy Chase,13,3.5,2.0,0.0,90.0,1.0,38.950572,-77.065636,2016-02-21 01:08:52.568154
7788831,6532932,Entire home/apt,,Mount Pleasant,5,5.0,4.0,1.0,104.0,1.0,38.933151,-77.037322,2016-02-21 01:08:44.957570
5862599,2944360,Entire home/apt,,Mount Vernon Square,76,5.0,,2.0,295.0,1.0,38.905211,-77.018342,2016-02-21 01:08:32.472430
4256138,9132087,Entire home/apt,,Logan Circle,43,5.0,4.0,0.0,118.0,1.0,38.906635,-77.032301,2016-02-21 01:08:29.644748
647080,3221627,Entire home/apt,,Capitol Hill,41,5.0,,2.0,300.0,4.0,38.892331,-77.000842,2016-02-21 01:08:16.863953
8188025,34053322,Entire home/apt,,Chevy Chase,1,5.0,,4.0,300.0,4.0,38.956934,-77.062063,2016-02-21 01:08:13.855343
9563517,29390529,Private room,,Petworth,2,4.5,2.0,1.0,55.0,1.0,38.942029,-77.025869,2016-02-21 01:07:52.450041
60557,157188,Entire home/apt,,Kalorama,0,,3.0,1.0,200.0,7.0,38.916851,-77.04928,2016-02-21 01:07:32.289403
9724532,25368286,Entire home/apt,,Dupont Circle,0,,3.0,0.0,80.0,2.0,38.912511,-77.04106,2016-02-21 01:07:29.994448
10281685,30283594,Entire home/apt,,Downtown,0,,3.0,1.0,169.0,3.0,38.892668,-77.018917,2016-02-21 01:07:23.411512
7819250,13275854,Private room,,Mount Pleasant,12,5.0,2.0,1.0,69.0,1.0,38.930654,-77.038064,2016-02-21 01:07:19.556700
5395890,27970796,Entire home/apt,,Adams Morgan,2,4.5,2.0,1.0,97.0,3.0,38.921264,-77.041574,2016-02-21 01:07:15.427227
2537740,12993876,Entire home/apt,,Woodley Park,78,4.5,,1.0,150.0,2.0,38.926543,-77.061034,2016-02-21 01:07:07.187125
8388086,15519236,Shared room,,Adams Morgan,20,4.5,2.0,1.0,49.0,1.0,38.923726,-77.036494,2016-02-21 01:06:44.784076
5833692,29566422,Private room,,Adams Morgan,11,4.5,2.0,1.0,85.0,1.0,38.917983,-77.044837,2016-02-21 01:06:36.881374
1210979,4320365,Private room,,Columbia Heights,12,5.0,2.0,1.0,80.0,2.0,38.928366,-77.027992,2016-02-21 01:06:32.724037
8286374,3400928,Entire home/apt,,Cleveland Park,7,5.0,3.0,1.0,95.0,1.0,38.937658,-77.06002,2016-02-21 01:06:12.632747
